ID,Date,Government Agency,Contract Description,Fund,Contractor,Procurement Method,Currency Unit,Dollar Amount,Jamaican Equivalent,Comments,Additional Comments,Column 13
67341,2013-10-30T00:00:00Z,National Water Commission ,The procurement of Electromechanical Pumping Equipment at the Logwood Treatment Plant. ,IADB,INDUSTRIAL MUNICIPAL & SUPPLIES INC. ,LCB,USD,378684.44,39629326.65,,,5201
67351,2013-10-30T00:00:00Z,Ministry of Agriculture and Fisheries ,The provision of Security Services at the Ministry of Agriculture & Fisheries head office and outstations for a period of two (2) years. ,GOJ,SHALK SECURITY LIMITED ,LCB,JMD,142917800.00,142917800.00,,,4561
67361,2013-10-30T00:00:00Z,"University of Technology, Jamaica ",The refurbishing and upgrading of the existing laboratories at the University of Technology. Jamaica's Old Hope Road location. The works involves the modification of fifteen (15) existing laboratories and workshops. ,CDB/ GOJ,M & M CONSTRUCTION LIMITED ,ICB,JMD,304826383.30,304826383.30,,,4561
67371,2013-10-30T00:00:00Z,Petroleum Corporation of Jamaica ,"The upgrading of Elevators at the Petroleum Corporation of Jamaica (PCJ) Resource Building. The works involves the replacement of current elevators cars, controllers and machines. ",GOJ,JAMAICA ELECTRICAL AND MECHANICAL ENGINEERS LIMITED ,LCB,JMD,28972820.71,28972820.71,,,4561
67381,2013-10-30T00:00:00Z,"University of Technology, Jamaica ","The construction and completion of a two (2) storey office building at the School of Business Administration (SOBA). The works involves reinforced concrete construction, fitting of finishes, elevator and electrical installation. ",GOJ,ALCAR CONSTRUCTION AND HAULAGE COMPANY LIMITED ,ICB,JMD,162529556.20,162529556.20,,,4561
67391,2013-10-30T00:00:00Z,Fiscal Services Limited ,"Direct Contracting for the supply, installation and commissioning of a Computer Room Air Conditioning (CRAC) Unit for Suite I. ",GOJ,AREL LIMITED ,DC,JMD,10892975.00,10892975.00,,,4561
67251,2013-10-23T00:00:00Z,Sports Development Foundation ,"The replacement of filters, valves and fittings at the National Stadium Pools, Independence Park, Kingston. ",GOJ,JAMAICA WELLS & SERVICES LIMITED ,DC,JMD,28414840.00,28414840.00,,,4561
67261,2013-10-23T00:00:00Z,Ministry of Finance and Planning ,Direct Contracting for the development of a Fundamentals in Public Procurement Course under the Government of Jamaica's (GOJ) Procurement Training and Certification Programme. ,GOJ,MANAGEMENT INSTITUTE FOR NATIONAL DEVELOPMENT (MIND) ,DC,JMD,79903000.00,79903000.00,,,4561
67271,2013-10-23T00:00:00Z,Ministry of Finance and Planning ,Direct Contracting for the design and delivery of an Insurance Certification Programme in Public Procurement under the Government of Jamaica's (GOJ) Procurement Training and Certification Programme. ,GOJ,INTERNATIONAL PROCUREMENT INSTITUTE JAMAICA LIMITED (INPRI) ,DC,JMD,309000000.00,309000000.00,,,4561
67281,2013-10-23T00:00:00Z,Ministry of Finance and Planning ,Direct Contracting for the design and delivery of an Insurance Placement Training Programme under the Government of Jamaica's (GOJ) Procurement Training and Certification Programme. ,GOJ,COLLEGE OF INSURANCE ,DC,JMD,22500000.00,22500000.00,,,4561
67291,2013-10-23T00:00:00Z,Montego Bay Free Zone Co. Ltd. ,Variation (Addition): The provision of security services at the Montego Bay Free Zone for a period of  three (3) years. ,GOJ,RANGER PROTECTION & SECURITY COMPANY LIMITED ,OT,JMD,12339348.72,12339348.72,,,4561
67301,2013-10-23T00:00:00Z,Customs Department ,Direct Contracting for the implementation of an Asycuda Customs Management System. ,IADB,UNITED NATIONS CONFERENCE ON TRADE DEVELOPMENT (UNCTAD) ,DC,USD,1750000.00,183137500.00,,,5201
67311,2013-10-23T00:00:00Z,Jamaica Vacations Limited ,Consultant for the provision of tourism growth strategies in the areas of Airlift and Marketing for a period of one (1) year. ,GOJ,PAUL PENNICOOK ,DC,JMD,10000000.00,10000000.00,,,4561
67321,2013-10-23T00:00:00Z,North East Regional Health Authority ,"Direct Contracting for the supply, installation and commissioning of Laundry Equipment at the Port Antonio Hospital, Annotto Bay Hospital and Port Antonio Hospital. ",NHF,APPLIANCE TRADERS LIMITED ,DC,USD,193920.35,20293764.63,,,5201
67331,2013-10-23T00:00:00Z,Western Regional Health Authority ,Emergency Procurement of two (2) new Treatment Planning Systems (one of each) for Kingston Public and Cornwall Regional Hospital. ,GOJ,VARIAN MEDICAL SYSTEMS INC. ,DC,USD,367984.00,38509525.60,,,5201
67181,2013-10-16T00:00:00Z,National Land Agency ,Direct Contracting for the renewal of the annual software maintenance agreement for the Land Registration System (LRS) and the Document Scanning System (DSS) at the National Land Agency (NLA). ,GOJ,MANTARON INC. ,DC,JMD,5542425.00,5542425.00,,,4561
67191,2013-10-16T00:00:00Z,Fiscal Services Limited ,The provision of Data Centre Co-Location and IAAS Managed Services. ,GOJ,DIGICEL JAMAICA LIMITED ,LCB,USD,2351914.00,246127800.10,,,5201
67201,2013-10-16T00:00:00Z,Petrojam Limited ,The supply of four (4) 4x4 Double Cab Automatic Diesel Pick-ups. ,PCJ,STEWART'S AUTO SALES LIMITED ,LCB,JMD,18000000.00,18000000.00,,,4561
67211,2013-10-16T00:00:00Z,Fiscal Services Limited ,The supply and implementation of an Enterprise Virtualization System (EVS) for Fiscal Services Limited (FSL). ,GOJ,ILLUMINAT (JAMAICA) LIMITED ,LCB,USD,341217.80,35708442.77,,,5201
67221,2013-10-16T00:00:00Z,Ministry of Finance and Planning ,The installation of an Integrated Video Surveillance and Access Control System at the Tax Administration Jamaica (TAJ). ,IADB,EHC INDUSTRIES LIMITED ,ICB,USD,189987.04,19882143.74,,,5201
67231,2013-10-16T00:00:00Z,Post and Telecommunications Department ,The refurbishing of the Heritage Post Office at Falmouth in the parish of Trelawny. ,TEF,C & D CONSTRUCTION AND ENGINEERING LIMITED ,LCB,JMD,34631592.37,34631592.37,,,4561
67241,2013-10-16T00:00:00Z,"Ministry of Science, Technology, Energy and Mining ","The supply and installation of energy efficient air conditioning retrofits at four (4) GOJ Facilities: Jamaica Information Service (JIS), Kingston Public Hospital (KPH), Montego Bay Revenue Service Centre and the Donald Sangster Building.",IADB,GEDDES REFRIGERATION LIMITED ,LCB,JMD,268776845.10,268776845.10,,,4561
66961,2013-10-09T00:00:00Z,Jamaica Library Service  ,Consultancy Services for the construction of the Ocho Rios Branch Library and Cultural Centre in the parish of St. Ann.,GOJ,CARL C. CHEN & ASSOCIATES ,LCB,JMD,16301250.00,16301250.00,,,4561
66971,2013-10-09T00:00:00Z,Port Authority of Jamaica ,The undertaking of repairs to structural elements of the walkway bridge and T-Pier at the Ocho Rios Cruise Ship Terminal in the parish of St. Ann. ,PAJ,PAVMENTS & STRUCTURES LIMITED ,LCB,JMD,20854880.00,20854880.00,,,4561
