,Date,Government Agency,Fund,Contractor,Procurement Method,Jamaican Equivalent,Funding Agency
0,2013-10-30,National Water Commission,IADB,INDUSTRIAL MUNICIPAL & SUPPLIES INC.,LCB,39629326.65,Non-GOJ Funding
1,2013-10-30,Ministry of Agriculture and Fisheries,GOJ,SHALK SECURITY LIMITED,LCB,142917800.0,GOJ Funding
2,2013-10-30,"University of Technology, Jamaica",CDB/ GOJ,M & M CONSTRUCTION LIMITED,ICB,304826383.3,Non-GOJ Funding
3,2013-10-30,Petroleum Corporation of Jamaica,GOJ,JAMAICA ELECTRICAL AND MECHANICAL ENGINEERS LIMITED,LCB,28972820.71,GOJ Funding
4,2013-10-30,"University of Technology, Jamaica",GOJ,ALCAR CONSTRUCTION AND HAULAGE COMPANY LIMITED,ICB,162529556.2,GOJ Funding
5,2013-10-30,Fiscal Services Limited,GOJ,AREL LIMITED,DC,10892975.0,GOJ Funding
6,2013-10-23,Sports Development Foundation,GOJ,JAMAICA WELLS & SERVICES LIMITED,DC,28414840.0,GOJ Funding
7,2013-10-23,Ministry of Finance and Planning,GOJ,MANAGEMENT INSTITUTE FOR NATIONAL DEVELOPMENT (MIND),DC,79903000.0,GOJ Funding
8,2013-10-23,Ministry of Finance and Planning,GOJ,INTERNATIONAL PROCUREMENT INSTITUTE JAMAICA LIMITED (INPRI),DC,309000000.0,GOJ Funding
9,2013-10-23,Ministry of Finance and Planning,GOJ,COLLEGE OF INSURANCE,DC,22500000.0,GOJ Funding
10,2013-10-23,Montego Bay Free Zone Co. Ltd.,GOJ,RANGER PROTECTION & SECURITY COMPANY LIMITED,OT,12339348.72,GOJ Funding
11,2013-10-23,Customs Department,IADB,UNITED NATIONS CONFERENCE ON TRADE DEVELOPMENT (UNCTAD),DC,183137500.0,Non-GOJ Funding
12,2013-10-23,Jamaica Vacations Limited,GOJ,PAUL PENNICOOK,DC,10000000.0,GOJ Funding
13,2013-10-23,North East Regional Health Authority,NHF,APPLIANCE TRADERS LIMITED,DC,20293764.63,Non-GOJ Funding
14,2013-10-23,Western Regional Health Authority,GOJ,VARIAN MEDICAL SYSTEMS INC.,DC,38509525.6,GOJ Funding
15,2013-10-16,National Land Agency,GOJ,MANTARON INC.,DC,5542425.0,GOJ Funding
16,2013-10-16,Fiscal Services Limited,GOJ,DIGICEL JAMAICA LIMITED,LCB,246127800.1,GOJ Funding
17,2013-10-16,Petrojam Limited,PCJ,STEWART'S AUTO SALES LIMITED,LCB,18000000.0,Non-GOJ Funding
18,2013-10-16,Fiscal Services Limited,GOJ,ILLUMINAT (JAMAICA) LIMITED,LCB,35708442.77,GOJ Funding
19,2013-10-16,Ministry of Finance and Planning,IADB,EHC INDUSTRIES LIMITED,ICB,19882143.74,Non-GOJ Funding
20,2013-10-16,Post and Telecommunications Department,TEF,C & D CONSTRUCTION AND ENGINEERING LIMITED,LCB,34631592.37,Non-GOJ Funding
21,2013-10-16,"Ministry of Science, Technology, Energy and Mining",IADB,GEDDES REFRIGERATION LIMITED,LCB,268776845.1,Non-GOJ Funding
22,2013-10-09,Jamaica Library Service,GOJ,CARL C. CHEN & ASSOCIATES,LCB,16301250.0,GOJ Funding
23,2013-10-09,Port Authority of Jamaica,PAJ,PAVMENTS & STRUCTURES LIMITED,LCB,20854880.0,Non-GOJ Funding
24,2013-10-09,Urban Development Corporation (UDC),GOJ,SYNCON TECHNOLOGIES LIMITED,LCB,17919351.32,GOJ Funding
25,2013-10-09,National Environment and Planning Agency (NEPA),UNDP/,AUKERMAN HAAS & ASSOCIATES,DC,12380932.2,Non-GOJ Funding
26,2013-10-09,National Water Commission,NWC K – FACTOR/ SCOTIA,D.R. FOOTE CONSTRUCTION COMPANY LIMITED,LCB,26161300.0,Non-GOJ Funding
27,2013-10-09,National Water Commission,IADB,DERYCK A. GIBSON LIMITED,ICB,1578935077.0,Non-GOJ Funding
28,2013-10-09,Southern Regional Health Authority,GOJ,LASCO DISTRIBUTORS LIMITED,LCB,238464965.0,GOJ Funding
29,2013-10-09,Tax Administration Jamaica (TAJ),GOJ,DE LA RUE INDENTITY SYSTEM,DC,46400000.0,GOJ Funding
30,2013-10-09,North East Regional Health Authority,GOJ,MATTCORP POWER SOLUTIONS LIMITED,DC,10395751.75,GOJ Funding
31,2013-10-09,"Passport, Immigration & Citizenship Agency (PICA)",GOJ,CANADIAN BANK NOTE COMPANY (CBN),DC,277322500.0,GOJ Funding
32,2013-10-09,National Health Fund,GOJ,CARI-MED LIMITED,DC,32993696.22,GOJ Funding
33,2013-10-09,National Health Fund,GOJ,A.A. LAQUIS LIMITED,DC,16081707.6,GOJ Funding
34,2013-10-09,National Health Fund,GOJ,3M INTERAMERICA INC.,DC,15824331.0,GOJ Funding
35,2013-10-09,National Health Fund,GOJ,SCIENTIFIC SUPPLIES AND TECHNOLOGY,DC,14627922.0,GOJ Funding
36,2013-10-09,National Health Fund,GOJ,RENAL DYNAMICS LLC,DC,8266699.14,GOJ Funding
37,2013-10-09,National Health Fund,GOJ,VICTUS INC.,DC,10288418.7,GOJ Funding
38,2013-10-09,National Health Fund,GOJ,DISPOSABLES LIMITED,DC,11445721.92,GOJ Funding
39,2013-10-09,National Health Fund,GOJ,URGO LABS,DC,10786500.0,GOJ Funding
40,2013-10-09,National Health Fund,GOJ,LASCO DISTRIBUTORS LIMITED,DC,10271910.0,GOJ Funding
41,2013-10-09,National Health Fund,GOJ,SHANGHAI CHANNELMED,DC,4685900.4,GOJ Funding
42,2013-10-09,National Health Fund,GOJ,SCIENTIFIC & MEDICAL SUPPLIES LIMITED,DC,12674928.0,GOJ Funding
43,2013-10-09,National Health Fund,GOJ,CHINA MEHECO CORPORATION,DC,1555179.72,GOJ Funding
44,2013-10-04,Fiscal Services Limited,GOJ,ILLUMINAT (JAMAICA) LIMITED,DC,6746994.8,GOJ Funding
45,2013-10-02,National Water Commission,IADB,QUALITY PLUS CONTRACTING COMPANY LIMITED,LCB,31219083.35,Non-GOJ Funding
46,2013-10-02,Transport Authority,GOJ,MARSHALL CONSTRUCTION COMPANY LIMITED,LCB,30298970.0,GOJ Funding
47,2013-10-02,Jamaica Social Investment Fund,GOJ,TREVOR HAMILTON & ASSOCIATES CENTRE FOR EXCELLENCE,ICB,15530902.8,GOJ Funding
48,2013-10-02,Ministry of Youth and Culture,GOJ/ PET-CAR,ANOTHER STAR IS BORN (ASB) CONSTRUCTION COMPANY LIMITED,LCB,21575329.6,Non-GOJ Funding
49,2013-10-02,Development Bank of Jamaica,DBJ,QUEST SECURITY SERVICES LIMITED,LCB,23372814.0,Non-GOJ Funding
50,2013-10-02,Human Employment and Resource Training/HEART Trust NTA,HT/NTA,VANGUARD SECURITY LIMITED,ST,68845010.22,Non-GOJ Funding
51,2013-10-02,National Works Agency,GOJ/ PET-CAR,ANOTHER STAR IS BORN (ASB) CONSTRUCTION COMPANY LIMITED,LCB,20863464.1,Non-GOJ Funding
52,2013-10-02,Transport Authority,GOJ,MARSHALL CONSTRUCTION COMPANY LIMITED,LCB,15836144.0,GOJ Funding
53,2013-09-25,South East Regional Health Authority,GOJ,VIN'S MECHANICAL & ELECTRICAL REPAIRS LIMITED,DC,6908870.84,GOJ Funding
54,2013-09-25,Petrojam Limited,PCJ,SUPER CLEANERS DRY CLEANERS & LAUNDERERS LIMITED,DC,1200000.0,Non-GOJ Funding
55,2013-09-25,Urban Development Corporation (UDC),GOJ,OMNITICKET NETWORK USA,LT,23510830.28,GOJ Funding
56,2013-09-25,Petrojam Limited,PCJ,UOP LLC,DC,83669698.51,Non-GOJ Funding
57,2013-09-18,National Water Commission,NWC K – FACTOR,D.R. FOOTE CONSTRUCTION COMPANY LIMITED,LCB,19674400.0,Non-GOJ Funding
58,2013-09-18,National Water Commission,NWC K – FACTOR,FREDERICK RODRIQUES & ASSOCIATES LIMITED,LCB,33305500.0,Non-GOJ Funding
59,2013-09-18,National Water Commission,NWC K – FACTOR,BACCHUS ENGINEERING WORKS LIMITED,LCB,27392392.5,Non-GOJ Funding
60,2013-09-18,National Water Commission,NWC K – FACTOR,BACCHUS ENGINEERING WORKS LIMITED,LCB,43757175.0,Non-GOJ Funding
61,2013-09-18,National Water Commission,NWC K – FACTOR,BACCHUS ENGINEERING WORKS LIMITED,LCB,47011615.0,Non-GOJ Funding
62,2013-09-18,National Water Commission,NWC K – FACTOR,FREDERICK RODRIQUES & ASSOCIATES LTD.,LCB,43765600.0,Non-GOJ Funding
63,2013-09-18,"University of Technology, Jamaica",GOJ,SENTRY SECURITY SERVICES LIMITED,LCB,149754976.0,GOJ Funding
64,2013-09-11,National Housing Trust,NHT,QUEST SECURITY SERVICES LIMITED,DC,21218063.65,Non-GOJ Funding
65,2013-09-11,Southern Regional Health Authority,GOJ,RENAL DYNAMICS LIMITED,DC,6486848.0,GOJ Funding
66,2013-09-11,Ministry of Justice,GOJ,M.L.O SERVICES LIMITED,DC,245272775.7,GOJ Funding
67,2013-09-11,"Ministry of Transport, Works and Housing",GOJ,SURREY PAVING & AGGREGATE COMPANY LIMITED,LCB,24858810.9,GOJ Funding
68,2013-09-11,Fiscal Services Limited,GOJ,FUJITSU JAMAICA LIMITED,DC,5747840.0,GOJ Funding
69,2013-09-11,National Water Commission,NWC/ NCB,VINCI CONSTRUCTION GRANDS PROJETS,ICB,424075944.2,Non-GOJ Funding
70,2013-09-04,Port Authority of Jamaica,PAJ,SURREY PAVING & AGGREGATE COMPANY LIMITED,LCB,68204972.45,Non-GOJ Funding
71,2013-09-04,National Housing Trust,NHT,M & M JAMAICA LIMITED,LCB,117541574.0,Non-GOJ Funding
72,2013-09-04,National Works Agency,IADB,GENERAL PAVING COMPANY LIMITED,ICB,171240355.0,Non-GOJ Funding
73,2013-09-04,Petrojam Limited,PCJ,IBI-MAAK CARIBBEAN LIMITED,ST,58724449.6,Non-GOJ Funding
74,2013-09-04,Ministry of National Security,GOJ,KUSTOM SIGNAL INC.,DC,6615148.0,GOJ Funding
75,2013-09-04,National Water Commission,NWC,IBM WORLD TRADE CORPORATION,DC,13874444.11,Non-GOJ Funding
76,2013-09-04,Tax Administration Jamaica (TAJ),GOJ,MUSSON (JAMAICA) LIMITED,DC,145213300.0,GOJ Funding
77,2013-09-04,Ministry of National Security,GOJ,ANALYSYS MASON LIMITED,DC,7018890.0,GOJ Funding
78,2013-08-28,Port Authority of Jamaica,PAJ,"AMBA DOCKSIDE TECHNOLOGY, INC.",DC,27818916.3,Non-GOJ Funding
79,2013-08-28,Aeronautical Telecommunication Limited,GOJ,ATLAS PROTECTION LIMITED,LCB,21255425.0,GOJ Funding
80,2013-08-28,Fiscal Services Limited,GOJ,DIGICEL JAMAICA LIMITED,DC,15189060.0,GOJ Funding
81,2013-08-21,National Insurance Fund (NIF),NIF,CLIFTON YAP ARCHITECTS,DC,20388000.0,Non-GOJ Funding
82,2013-08-21,"University of Technology, Jamaica",GOJ,DIGICEL BUSINESS,LCB,21097635.0,GOJ Funding
83,2013-08-21,Ministry of Health,GOJ,DIAMED CARRIBBEAN INC.,DC,26837056.0,GOJ Funding
84,2013-08-21,Port Authority of Jamaica,PAJ,VANGUARD SECURITY LIMITED,DC,4361480.4,Non-GOJ Funding
85,2013-08-14,Ministry of National Security,GOJ,TOYOTA JAMAICA LIMITED,DC,17027388.0,GOJ Funding
86,2013-08-14,Ministry of National Security,GOJ,VEHICLES & SUPPLIES (INDUS DIV) LIMITED,DC,31000000.0,GOJ Funding
87,2013-08-14,Ministry of National Security,GOJ,STEWART'S AUTO SALES LIMITED,DC,92231227.0,GOJ Funding
88,2013-08-14,Ministry of National Security,GOJ,KINGSTON INDUSTRIAL GARAGE LIMITED,DC,17900000.0,GOJ Funding
89,2013-08-14,Ministry of National Security,GOJ,TOYOTA JAMAICA LIMITED,DC,135093560.0,GOJ Funding
90,2013-08-14,Ministry of National Security,GOJ,TOYOTA JAMAICA LIMITED,DC,6512480.0,GOJ Funding
91,2013-08-14,National Housing Trust,NHT,SYNCON TECHNOLOGIES LIMITED,DC,7173213.82,Non-GOJ Funding
